Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Fri.;18.08.2017;18:00;403204;Burgdorf, BBS;191001;VR OL WJC;Vorrunde OL WJC Süd;TSV Burgdorf;JSG Bördehandball-Ost;="34:20";="18:11";Fehse Konrad Anton;SG Misburg;Pfarr Vera;VfV 1887 Hainholz;;;;
Fri.;18.08.2017;19:35;403204;Burgdorf, BBS;144001;VR OL MJB;Vor. Oberliga MJB Süd;TSV Burgdorf;MTV Braunschweig;="37:21";="16:8";Ben Brahim Hamed;SG Misburg;Triadan Martin;SG Misburg;;;;
Sat.;19.08.2017;12:45;608115;Horneburg, SH 1;188001;VR OL WJC;Vorrunde OL WJC Nord;VfL Horneburg;VfL Stade;="25:39";="14:21";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;19.08.2017;13:30;809102;Cloppenburg, TVC-SH ;192001;VR OL WJC;Vorrunde OL WJC Südwest;TV Cloppenburg;SpVgg Brandlecht-Hestrup;="14:19";="7:11";Dierkes Petra;TUS FRISIA Goldenstedt;Feder Martina;TUS FRISIA Goldenstedt;;;;
Sat.;19.08.2017;14:30;805106;Jever, SZ ;189001;VR OL WJC;Vorrunde OL WJC Nordwest;HG Jever/Schortens;SV Werder Bremen;="7:28";="3:13";Arends Stephan;HSG Friedeburg/Burhafe;Franz Anthony;HG Jever/Schortens;;;;
Sat.;19.08.2017;15:30;808135;Hasbergen, SH Alt ;192002;VR OL WJC;Vorrunde OL WJC Südwest;SG Teuto Handball;SV Vorwärts Nordhorn;="24:24";="14:12";Kroll Amon;SV Rot-Weiß Damme;Lamping Christian;Grün-Weiß Mühlen;;;;
Sat.;19.08.2017;16:00;802102;Aurich-Mitte, SH;143001;VR OL MJB;Vor. Oberliga MJB Nord;OHV Aurich;TV Oyten;="21:21";="13:10";Wagener Olaf;SV Warsingsfehn e.V.;;;;;;
Sat.;19.08.2017;16:00;609105;Scheeßel, SH;173001;VR OL WJB;Vor. Oberliga WJB Ost;Jugendhandball Wümme;HSG Hannover-Badenstedt;="10:30";="6:17";Von Der Linde Björn;SG SV Friedrichsfehn/TuS Petersfehn;;;;;;
Sat.;19.08.2017;16:30;805106;Jever, SZ ;143002;VR OL MJB;Vor. Oberliga MJB Nord;HG Jever/Schortens;HSG Nienburg;="21:27";="10:15";Rieck Stephan;HSG Emden;;;;;;
Sat.;19.08.2017;16:45;406110;Nienburg, SH Meerbachhalle;173002;VR OL WJB;Vor. Oberliga WJB Ost;HSG Nienburg;HSG Fuhlen-Hessisch Old.;="18:19";="12:7";Grabanica Burim;HSG Schaumburg-Nord;Moch Mark;HSG Schaumburg-Nord;;;;
