Tag;Datum;Zeit;Hallennummer;Inhalt Tooltip Halle;Spielnummer;Liga;Staffelkurzbezeichnung;Heimmannschaft;Gastmannschaft;Ergebnis;Halbzeitergebnis;SR A; Verein SR A; SR B; Verein SR B; SR C; Verein SR C; SR D; Verein SR D
Sat.;19.08.2017;20:00;101130;Bremen-Hastedt, VH Hastedter TSV;143003;VR OL MJB;Vor. Oberliga MJB Nord;SG HC Bremen/Hastedt;HSG Schwanewede/Nk.;="27:21";="11:12";Schminke Stefan;SG Findorff;;;;;;
Sun.;20.08.2017;16:00;101103;Bremen-Arsten, Vereinsporthalle TuS Komet Arsten;187002;VR OL WJC;Vorrunde OL WJC Mitte;TuS Komet Arsten;ATSV Habenhausen;="36:17";="19:6";Zapff Alexander;SV Werder Bremen;;;;;;
Tue.;22.08.2017;19:30;101148;Bremen-Oslebshausen, Erwin-Büchler-Halle;174004;VR OL WJB;Vor. Oberliga WJB West;SVGO Bremen;VfL Oldenburg;="12:32";="3:12";Becker Thoralf;TS Hoykenkamp;Schumacher Elke;Elsflether TB;;;;
Sat.;26.08.2017;14:00;813024;Delmenhorst, SH Am Stadion ;1;POK F;R1G12;TuS Komet Arsten;HSG Delmenhorst;="13:13";="5:8";Korsch Stefan;TV Langen;Reinke Stephan;TV Langen;;;;
Sat.;26.08.2017;14:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;174005;VR OL WJB;Vor. Oberliga WJB West;SV Werder Bremen;SVGO Bremen;="33:18";="14:11";Schwarze Arce;SG SV Friedrichsfehn/TuS Petersfehn;;;;;;
Sat.;26.08.2017;14:50;813024;Delmenhorst, SH Am Stadion ;2;POK F;R1G12;SV Werder Bremen II;TSV Morsum;="17:4";="9:4";Korsch Stefan;TV Langen;Reinke Stephan;TV Langen;;;;
Sat.;26.08.2017;15:00;606108;Schwanewede, Heideschule;1;POK M;R1G05 ;TV Langen;Elsflether TB II;="16:6";="8:2";Gardianczik Manfred;SVGO Bremen;Heumann Guido;SVGO Bremen;;;;
Sat.;26.08.2017;15:40;813024;Delmenhorst, SH Am Stadion ;3;POK F;R1G12;HSG Delmenhorst;SV Werder Bremen II;="6:10";="4:5";Korsch Stefan;TV Langen;Reinke Stephan;TV Langen;;;;
Sat.;26.08.2017;15:50;606108;Schwanewede, Heideschule;2;POK M;R1G05 ;HSG Schwanewede/Nk.;TV Gut Heil Spaden;="17:10";="8:5";Gardianczik Manfred;SVGO Bremen;Heumann Guido;SVGO Bremen;;;;
Sat.;26.08.2017;16:00;606107;Grasberg, SH;401006;ROL WJA (Ü);ROL WJA Mitte;HV Grasberg;TuS Komet Arsten II;="10:16";="7:9";Lindner Silke;HV Grasberg 2010;;;;;;
Sat.;26.08.2017;16:30;813024;Delmenhorst, SH Am Stadion ;4;POK F;R1G12;TSV Morsum;TuS Komet Arsten;="12:15";="6:8";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;26.08.2017;16:40;606108;Schwanewede, Heideschule;3;POK M;R1G05 ;Elsflether TB II;HSG Schwanewede/Nk.;="4:23";="1:9";Gardianczik Manfred;SVGO Bremen;Heumann Guido;SVGO Bremen;;;;
Sat.;26.08.2017;17:20;813024;Delmenhorst, SH Am Stadion ;5;POK F;R1G12;HSG Delmenhorst;TSV Morsum;="13:8";="7:5";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;26.08.2017;17:30;606108;Schwanewede, Heideschule;4;POK M;R1G05 ;TV Gut Heil Spaden;TV Langen;="10:19";="4:9";Burchhardt Julia;TS Woltmershausen;Feldmann Jörg;TS Woltmershausen;;;;
Sat.;26.08.2017;18:10;813024;Delmenhorst, SH Am Stadion ;6;POK F;R1G12;TuS Komet Arsten;SV Werder Bremen II;="10:21";="7:11";Voigts Steffen;ATSV Habenhausen;;;;;;
Sat.;26.08.2017;18:20;606108;Schwanewede, Heideschule;5;POK M;R1G05 ;Elsflether TB II;TV Gut Heil Spaden;="12:19";="8:9";Burchhardt Julia;TS Woltmershausen;Feldmann Jörg;TS Woltmershausen;;;;
Sat.;26.08.2017;19:10;606108;Schwanewede, Heideschule;6;POK M;R1G05 ;TV Langen;HSG Schwanewede/Nk.;="12:14";="4:8";Burchhardt Julia;TS Woltmershausen;Feldmann Jörg;TS Woltmershausen;;;;
Sun.;27.08.2017;12:00;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;1;POK F;R1G13;SV Werder Bremen III;SG Findorff;="13:10";="7:6";Kahler Fabian;TV Neerstedt;Witte Marcel;TV Neerstedt;;;;
Sun.;27.08.2017;12:50;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;2;POK F;R1G13;SG HC Bremen/Hastedt;TV Oyten II;="14:19";="7:11";Kahler Fabian;TV Neerstedt;Witte Marcel;TV Neerstedt;;;;
Sun.;27.08.2017;13:40;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;3;POK F;R1G13;SG Findorff;SG HC Bremen/Hastedt;="15:13";="8:4";Kahler Fabian;TV Neerstedt;Witte Marcel;TV Neerstedt;;;;
Sun.;27.08.2017;14:00;101160;Bremen-Lesum, VH Lesum/St. Magnus;1;POK M;R1G08;TSV Daverden;HSG Lesum/St.Magnus;="14:16";="7:8";Hamann Jens;HSG Schwanewede/Neuenkirchen;Wachowiak Nikolai;HSG Schwanewede/Neuenkirchen;;;;
Sun.;27.08.2017;14:30;101133;Bremen-Hulsberg, Klaus-Dieter-Fischer-Halle, VH SV Werder I ;4;POK F;R1G13;TV Oyten II;SV Werder Bremen III;="20:15";="9:8";Heins Sebastian;TSV Bremervörde;Lüloff Frank;TSV Bremervörde;;;;
Sun.;27.08.2017;14:50;101160;Bremen-Lesum, VH Lesum/St. Magnus;2;POK M;R1G08;SG HC Bremen/Hastedt;HSG Stuhr;="14:8";="6:3";Hamann Jens;HSG Schwanewede/Neuenkirchen;Wachowiak Nikolai;HSG Schwanewede/Neuenkirchen;;;;
Sun.;27.08.2017;15:00;101184;Ritterhude, SZ;303004;ROL MJA (Ü);ROL MJA Nord;TuSG Ritterhude;SVGO Bremen;="10:34";="5:15";Klingner Carsten;SV Werder Bremen;;;;;;
